Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
LE-2340 HUMIDIFICADOR E AROMATIZADOR DE AMBIENTE,LE-2340,75,110,1,7908125208642
WU-111 GARRAFA TERMICA,WU-111,36,50,1,7898070366767
WU-099 GARRAFA TERMICA,WU-099,35,50,1,7898070367344
CSJ-12205 BOMBA DE ÁGUA,CSJ-12205,17,30,1,7899085713515
KV-351 MASSAGEADOR DE PÉS INOVA,KV-351,20,35,1,7898070365272
PEI-PD002 FONTE PEINING USB C,PEI-PD002,18,30,1,7893008810633
WS-266 - CAIXA DE SOM COM RÁDIO USB/TF/FM KOMBI,WS-266,70,100,1,7897723012662
HY-4209/10 - CAIXA DE SOM BLUETOOTH,HY-4209,90,130,1,6901765142094
RAD-11255 - MINI CAIXA DE SOM BOLINHA,RAD-11255,25,40,1,7899085712525
MD-12278 - CONJUNTO DE FACAS COM REVESTIMENTO ANTIADERENTE 8 PEÇAS,MD-12278,130,170,1,7893095416664
MD-30225 - VENTILADOR PORTÁTIL RECARREGAVÉL,MD-30225,19,30,1,7893095421705
S9800 - CAIXA DE SOM BLUETOOTH SOONBOX,S9800,145,200,1,1000000940893
PEI-S823 - CAIXA DE SOM ALTO FALANTE KARAOKE 160W,PEI-S823,960,1300,1,7975855103813
CFH-10 - GARRAFA TÉRMICA C/LEITOR DIGITAL 1L,CFH-10,60,85,1,1000000998498
A1-108 - RÁDIO A-VISION,A1-108,85,130,1,8008217561217
TY-39 - FONTE DE ALIMENTAÇÃO CCE,TY-39,40,60,1,1000001109299
FONTE SKY,FONTE SKY,40,60,1,1000001111650
MOU-6909/6910 - MOUSE C/FIO INOVA,MOU-6909/6910,8,15,1,7897373103970
DVR-7280 - DVR INOVA 4 CANAIS,DVR-7280,260,370,1,7897473118218
FON-30039 - FONE DE OUVIDO TC,FON-30039,13,20,1,
FON-7503 - FONE DE OUVIDO,FON-7503,6,12,1,7899085125950
CAR-9010 - CARREGADOR INOVA BLISTER 4.8 TIPO C,CAR-9010,10,20,1,7893595555450
KV-339 - CAIXA DE SOM PORTÁIL C/ FUNÇÃO RÁDIO,KV-339,550,800,1,7898070367627
CELL-11059 - BATERIA CARTELA C/5,CELL-11059,5,12,1,7899085489755
KV-3162A - CARREGADOR IPH -I6 4.8,KV-3162A,12,25,1,
PO-1 - CABO DE FORÇA,PO-1,5,10,1,7893361542363
KA-665 - MINI TECLADO KAPBOM,KA-665,18,30,1,7897544568416
SL-7606 - EXTENSÃO DE 6 TOMADAS 1.5M BASIKE PRIME,SL-7606,26,40,1,7899085123529
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
KV-299 - BOMBA D'AGUA AUTOMATICA,KV-299,16,28,1,
KV-138 - BALANÇA DE PRECISÃO,KV-138,20,30,1,7899085588984
SSD MASTERDRIVE 480GB,SSD-480GB,335,450,1,
SSD MASTERDRIVE 1TB,SSD-1TB,590,845,1,
LE-5202 MASSAGE PUFF,LE-5202,85,120,1,7908125210126
MD-12464 CABO DE DADOS V8-1M 3.4A,MD-12464-V8 1M,5.5,12,1,7893095423464
DM-20429 PISTA 360° GRAUS PARA SELFIE,DM-20429,3400,4500,1,
WU-083 GARRAFA TERMICA,WU-083,38,60,2,7899085714222
LE-1807 ROÇADEIRA APARADORA DE GRAMA,LE-1807,300,400,2,7908125207515
JMQ-12216 PISTOLA DE MASSAGEM INSTRUMENT,JMQ-12216,80,110,2,7899085713300
